Asset,Strategy,RoundTripCost,Annualised Return,Annualised Volatility,Sharpe,Sortino,Skew,Max Drawdown,Avg |Δw|
FXE,VC_CONTRARIAN,0.0,-0.012714585178178472,0.09115753959897462,-0.09481941727943755,-0.14318172204859406,0.13440814811708945,-0.39369296616239013,0.20201567749160135
FXE,VC_CONTRARIAN,0.0002,-0.017728595215622867,0.09117389790263883,-0.1506260045224888,-0.22737336204348563,0.135498313408173,-0.4178303857817167,0.20201567749160135
FXE,VC_CONTRARIAN,0.001,-0.0375410952646531,0.09133956968841586,-0.3732421858759282,-0.5631793536189073,0.13881561399734157,-0.5702430803800409,0.20201567749160135
FXE,VC_FLAT,0.0,0.008368994902971938,0.05752440220672836,0.17364101098715354,0.19260274191338436,-0.024585195888255716,-0.18897236582490273,0.11713325867861142
FXE,VC_FLAT,0.0002,0.005397265068729062,0.05753071887418923,0.12232592108425579,0.13502336632900394,-0.028954883086195628,-0.2091628109958099,0.11713325867861142
FXE,VC_FLAT,0.001,-0.00640689513713244,0.057629647813989576,-0.08271594081565464,-0.09205400422126545,-0.047056289873888775,-0.3113838029378144,0.11713325867861142
FXY,BH,0.0,-0.02832095704696247,0.10095744239073895,-0.23413626685678682,-0.35002921327912684,0.2756068968465503,-0.5603043864005512,0.0
FXY,BH,0.0002,-0.02832095704696247,0.10095744239073895,-0.23413626685678682,-0.35002921327912684,0.2756068968465503,-0.5603043864005512,0.0
FXY,BH,0.001,-0.02832095704696247,0.10095744239073895,-0.23413626685678682,-0.35002921327912684,0.2756068968465503,-0.5603043864005512,0.0
FXY,TSMOM,0.0,0.037017583691770994,0.10093465838603152,0.41060923968847335,0.5823881828486225,-0.025921479703542395,-0.21030806708349814,0.1070548712206047
FXY,TSMOM,0.0002,0.03422469019213592,0.10093436532795434,0.38388832712050824,0.5444605329995713,-0.026014537115841764,-0.2158208442735713,0.1070548712206047
FXY,TSMOM,0.001,0.023122610814834577,0.10098377644726426,0.2768643727220572,0.3927170149426702,-0.026468811851350447,-0.24662886008972418,0.1070548712206047
FXY,VC_CONTRARIAN,0.0,-0.02024794826642684,0.10096379125906323,-0.15207940841499737,-0.21029570994324998,-0.17019158757400324,-0.4504541429889092,0.1908174692049272
FXY,VC_CONTRARIAN,0.0002,-0.024947626161538228,0.10096670686323082,-0.19968995506901918,-0.27616206349095523,-0.1698896830477547,-0.4891497006011839,0.1908174692049272
FXY,VC_CONTRARIAN,0.001,-0.04353118777445475,0.10106448720678286,-0.38977223641648084,-0.5396346999536283,-0.1684906013422369,-0.6225442082659813,0.1908174692049272
FXY,VC_FLAT,0.0,0.011016116516054941,0.06461483136477546,0.2018901012431764,0.20998246481837757,-0.31909717581193203,-0.19484835854155869,0.12071668533034714
FXY,VC_FLAT,0.0002,0.007945937852875673,0.06461521308456432,0.15481981809157283,0.1613333759418011,-0.3245185063294311,-0.20684114940810516,0.12071668533034714
FXY,VC_FLAT,0.001,-0.004246689932144498,0.06468657304213705,-0.03341963569890551,-0.03510406824067068,-0.34555508002693747,-0.2707865446783434,0.12071668533034714
GLD,BH,0.0,0.08982336105360855,0.17374558264516088,0.5820911861552063,0.7913491758483472,-0.11606413537063631,-0.4555501273425684,0.0
GLD,BH,0.0002,0.08982336105360855,0.17374558264516088,0.5820911861552063,0.7913491758483472,-0.11606413537063631,-0.4555501273425684,0.0
GLD,BH,0.001,0.08982336105360855,0.17374558264516088,0.5820911861552063,0.7913491758483472,-0.11606413537063631,-0.4555501273425684,0.0
GLD,TSMOM,0.0,0.0200083820960395,0.17384842785483268,0.20106744173014746,0.27333851148151145,-0.2614826000964601,-0.4360036833565121,0.09764837625979843
GLD,TSMOM,0.0002,0.01749838300366391,0.1738691642156376,0.18689381004617747,0.254074232649253,-0.2617255153971056,-0.4420621157678588,0.09764837625979843
GLD,TSMOM,0.001,0.007515024396603565,0.17397899397460842,0.13021295089230223,0.17703948628992344,-0.262714073674175,-0.4656635540202405,0.09764837625979843
